modelo,var,tipo,gama,epsilon,FuncObj,HipePlan,status,media,tempo,num_variaveis,TP,FN,FP,TN,TPA,TPE,TNA,TNE,Acurácia,Precisão,Recall,F1_score
RGP_1.jl,A,sb,0.0,0.1,2.0,3.0,OPTIMAL,0.5,0.0027,53,2,3,1,4,0.4,0.6,0.8,0.2,0.6,0.67,0.4,0.5
RGP_1.jl,A,sb,1.0,0.1,2.0,3.4,OPTIMAL,0.5,0.0032,53,0,5,1,4,0.0,1.0,0.8,0.2,0.4,0.0,0.0,NaN
RGP_1.jl,A,sb,2.0,0.1,2.0,4.4,OPTIMAL,0.5,0.0015,53,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_1.jl,A,sb,3.0,0.1,2.0,4.4,OPTIMAL,0.5,0.0016,53,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_1.jl,A,sb,4.0,0.1,2.0,4.4,OPTIMAL,0.5,0.0014,53,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_1.jl,B,sb,0.0,0.1,0.0,-5.0,OPTIMAL,-1.0,0.0024,53,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_1.jl,B,sb,1.0,0.1,0.0,-5.0,OPTIMAL,-1.0,0.0012,53,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_1.jl,B,sb,2.0,0.1,0.0,-5.0,OPTIMAL,-1.0,0.0011,53,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_1.jl,B,sb,3.0,0.1,0.0,-5.0,OPTIMAL,-1.0,0.0029,53,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_1.jl,B,sb,4.0,0.1,0.0,-5.0,OPTIMAL,-1.0,0.001,53,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_1.jl,C,sb,0.0,0.1,0.0,2.6666666666666665,OPTIMAL,0.5,0.0016,53,1,4,0,5,0.2,0.8,1.0,0.0,0.6,1.0,0.2,0.33
RGP_1.jl,C,sb,1.0,0.1,0.0,3.2,OPTIMAL,0.49999999999999994,0.0012,53,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_1.jl,C,sb,2.0,0.1,0.0,3.200000000000001,OPTIMAL,0.5,0.0032,53,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_1.jl,C,sb,3.0,0.1,0.0,3.200000000000001,OPTIMAL,0.5,0.002,53,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_1.jl,C,sb,4.0,0.1,0.0,3.200000000000001,OPTIMAL,0.5,0.0018,53,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_1.jl,D,sb,0.0,0.1,2.0,3.0,OPTIMAL,0.5,0.0029,53,2,3,1,4,0.4,0.6,0.8,0.2,0.6,0.67,0.4,0.5
RGP_1.jl,D,sb,1.0,0.1,2.0,3.4,OPTIMAL,0.5,0.0016,53,0,5,1,4,0.0,1.0,0.8,0.2,0.4,0.0,0.0,NaN
RGP_1.jl,D,sb,2.0,0.1,2.0,3.4,OPTIMAL,0.5,0.0032,53,0,5,1,4,0.0,1.0,0.8,0.2,0.4,0.0,0.0,NaN
RGP_1.jl,D,sb,3.0,0.1,2.0,3.4,OPTIMAL,0.5,0.0013,53,0,5,1,4,0.0,1.0,0.8,0.2,0.4,0.0,0.0,NaN
RGP_1.jl,D,sb,4.0,0.1,2.0,3.4,OPTIMAL,0.5,0.0025,53,0,5,1,4,0.0,1.0,0.8,0.2,0.4,0.0,0.0,NaN
